"","query_target_gsea.Target.name","query_target_gsea.dangshen_CS","query_target_gsea.huangqi_CS","query_target_gsea.dangshen_NCS","query_target_gsea.huangqi_NCS","query_target_gsea.dangshen_Pvalue","query_target_gsea.huangqi_Pvalue","query_target_gsea.dangshen_FDR","query_target_gsea.huangqi_FDR"
"CYP11B1","CYP11B1",-0.252621,0.057939,-3.63977733750919,0.807624935826687,0,0.542914171656687,0.000527182649304844,0.969481279576192
"SSTR5","SSTR5",0.227692,0.048237,3.22909961716041,0.684091132903074,0,0.561122244488978,0.0034722014087923,0.962571009971281
"P2RX2","P2RX2",0.300314,-0.00599899999999999,4.29908955409013,-0.0900090497697281,0,0.902542372881356,7.32914737755459e-06,0.981830773076943
"KRR1","KRR1",-0.3298,0.006506,-5.09964416251927,0.0976474787621788,0,0.889125799573561,0,0.98623692073736
"SIRT2","SIRT2",-0.38665,-0.189289,-6.00577872344477,-2.9401987554174,0,0,0,0.0138427960172304
"BRAF","BRAF",0.2658,-0.041345,4.01900257840493,-0.620297197250165,0,0.54602510460251,2.77431002427208e-05,0.956406349333675
"CHRNA9","CHRNA9",0.26353,0.01986,4.00888929244481,0.302115665571107,0,0.692607003891051,3.30119579358761e-05,0.95835416429481
"COMT","COMT",0.229362,-0.00687,3.23560328436631,-0.104415482662262,0,0.879684418145957,0.00339627491499016,0.980254685544508
"RHOA","RHOA",-0.40684,-0.010834,-5.95372398319615,-0.158545486269657,0,0.826923076923077,0,0.970451507526693
"MGMT","MGMT",0.199511,-0.056378,2.62785675416653,-0.787086015135316,0.002,0.532,0.0407135911749575,0.969380319257749
"SLC29A1","SLC29A1",0.114025,0.168112,1.72668997247782,2.54573387110889,0.205128205128205,0.0118343195266272,0.496184850621342,0.0530212787056484
"KCNA5","KCNA5",0.037367,-0.155855,0.521459054022813,-2.36593338394075,0.603112840466926,0.037037037037037,0.948621543928902,0.0975836940610608
"CATSPER4","CATSPER4",-0.27901,0.045047,-4.25517013582025,0.645768603313575,0,0.569416498993964,8.44739567836401e-06,0.958479858127302
"CAMK2G","CAMK2G",-0.06929,0.194118,-0.94049627093025,2.95478852982261,0.558,0.004,0.977961005123961,0.0120466659504137
"SLC6A11","SLC6A11",-0.242746,-0.011063,-3.66551174634633,-0.167053448665805,0,0.809716599190283,0.000455608969746098,0.96944432540164
"MLNR","MLNR",0.217999,0.00997000000000001,3.35580484912998,0.153474898260203,0,0.828752642706131,0.00184642247709414,0.975791540341283
"SCN1B","SCN1B",0.32023,-0.043408,4.74180469745553,-0.626589082632699,0,0.556701030927835,0,0.957267782953134
